Word,RelativeFreq,SocialistFreq,CorpusFreq
joulut,1.159711,0.036501,0.031474
teokset,1.159955,0.010661,0.009191
ansaitsee,1.160126,0.023872,0.020577
raja,1.160248,0.008256,0.007116
anton,1.160343,0.031784,0.027392
tampereelta,1.160915,0.062318,0.053680
suuri,1.161040,0.392239,0.337834
ottaminen,1.161230,0.010464,0.009011
armosta,1.161410,0.028031,0.024135
ajoin,1.161541,0.015344,0.013210
tiedän,1.161753,0.018678,0.016078
elon,1.161865,0.008419,0.007246
lakkaa,1.161933,0.012578,0.010825
kulkemaan,1.162198,0.013949,0.012003
piireissä,1.162255,0.033538,0.028856
antaman,1.162355,0.019108,0.016439
luokan,1.162408,0.049340,0.042446
asuu,1.162727,0.024615,0.021170
talonpojan,1.163030,0.009488,0.008158
kaikissa,1.163162,0.105608,0.090794
suomea,1.163428,0.042427,0.036467
amerikan,1.163955,0.031737,0.027267
matkustanut,1.163966,0.009604,0.008251
huomasin,1.163975,0.009778,0.008401
heikko,1.164092,0.013055,0.011215
luwan,1.164389,0.017191,0.014764
tammit,1.164483,0.009093,0.007808
poika,1.164597,0.090284,0.077523
vallan,1.164634,0.019666,0.016886
molempia,1.164691,0.009883,0.008485
naimisissa,1.164952,0.008895,0.007636
kahden,1.165069,0.063375,0.054396
pitkin,1.165129,0.049130,0.042167
asianomaisten,1.165200,0.029379,0.025214
monta,1.165227,0.149329,0.128155
valiokuntaan,1.165926,0.009383,0.008048
valtion,1.166419,0.048979,0.041991
yksityisen,1.166673,0.018167,0.015572
sanoin,1.167047,0.037198,0.031874
tulevat,1.167087,0.048375,0.041450
unkarin,1.167360,0.011393,0.009760
käskystä,1.167632,0.015739,0.013479
kilpailu,1.167642,0.019608,0.016793
konttori,1.167731,0.139756,0.119681
entiseen,1.167785,0.016273,0.013935
voimansa,1.167802,0.007722,0.006612
muutamissa,1.168000,0.023872,0.020438
puhdas,1.168246,0.021374,0.018296
