varasto	0.041416	0.116542	0.075127
sellaisen	0.041352	0.080584	0.039231
yleinen	0.041340	0.142441	0.101101
itseään	0.041337	0.094668	0.053331
pniä	0.041270	0.048856	0.007586
nykyään	0.041172	0.161581	0.120409
tullut	0.041063	0.326721	0.285657
näitä	0.041059	0.169371	0.128312
pnäklo	0.041004	0.041014	0.000010
suomettarelaiset	0.041003	0.041014	0.000011
siitäettä	0.040908	0.040911	0.000003
yhteen	0.040896	0.100188	0.059293
siltasaarenkatu	0.040835	0.040963	0.000128
saamaan	0.040810	0.089509	0.048699
siltä	0.040778	0.127634	0.086856
muka	0.040724	0.113344	0.072620
määrin	0.040562	0.122217	0.081655
karttakaa	0.040560	0.040756	0.000197
enemmistö	0.040491	0.063198	0.022707
olewan	0.040419	0.107204	0.066786
tuon	0.040379	0.191554	0.151175
aikaisemmin	0.040224	0.066190	0.025966
saatu	0.040154	0.147135	0.106981
suuri	0.040152	0.393117	0.352965
tehdään	0.040081	0.146516	0.106435
päätetään	0.040006	0.069956	0.029950
kio	0.039921	0.045812	0.005891
alkaen	0.039858	0.141409	0.101550
alle	0.039783	0.145691	0.105907
suurin	0.039741	0.136972	0.097231
meni	0.039556	0.141873	0.102317
liike	0.039356	0.078469	0.039113
tahtoo	0.039350	0.135631	0.096281
esillä	0.039342	0.067532	0.028190
lausunnon	0.039285	0.066655	0.027370
sangen	0.039240	0.114840	0.075600
yksinomaan	0.039212	0.069492	0.030280
onko	0.039101	0.134599	0.095498
talon	0.039082	0.203008	0.163926
jotfa	0.039055	0.053293	0.014238
muta	0.038865	0.059329	0.020464
asiassa	0.038633	0.133361	0.094728
isäntä	0.038624	0.089096	0.050472
aitaa	0.038617	0.085382	0.046765
oleroan	0.038606	0.041891	0.003285
koiton	0.038576	0.042304	0.003728
torppari	0.038388	0.067325	0.028937
tietysti	0.038341	0.172827	0.134486
talolle	0.038296	0.046689	0.008393
yhtä	0.038181	0.263884	0.225703
halvat	0.038045	0.064230	0.026185
kirjapaino	0.038022	0.079862	0.041839
entistä	0.037976	0.072020	0.034044
hyroin	0.037971	0.045812	0.007841
toimii	0.037932	0.057729	0.019798
töitä	0.037924	0.097712	0.059788
aleksanterink	0.037854	0.048959	0.011105
ilmoitti	0.037764	0.095545	0.057781
sahan	0.037728	0.050043	0.012315
työt	0.037724	0.075992	0.038269
naiset	0.037718	0.087910	0.050192
josta	0.037701	0.385740	0.348039
huomenna	0.037687	0.109474	0.071787
unionink	0.037685	0.044110	0.006425
toimia	0.037616	0.076715	0.039098
kihla	0.037608	0.041169	0.003561
töölön	0.037421	0.041169	0.003748
isokatu	0.037416	0.037506	0.000090
työntekijät	0.037416	0.042252	0.004837
esitys	0.037411	0.073774	0.036363
pysyvistä	0.037396	0.037970	0.000574
antink	0.037304	0.049011	0.011707
tärkeitä	0.037296	0.054892	0.017596
syytä	0.037274	0.124590	0.087317
perin	0.037246	0.071195	0.033948
ilmoituksista	0.037225	0.053705	0.016480
tum	0.037102	0.062063	0.024961
aikaan	0.037100	0.189697	0.152598
nti	0.037086	0.071246	0.034160
sattui	0.037004	0.080790	0.043786
puoleen	0.036921	0.097351	0.060430
ette	0.036894	0.072587	0.035693
tahdon	0.036803	0.083318	0.046515
tampereelle	0.036791	0.070782	0.033990
sosialidemokratia	0.036773	0.036887	0.000114
toimitus	0.036644	0.083009	0.046365
johtuu	0.036629	0.047257	0.010627
liikkeen	0.036568	0.063146	0.026578
kaivokatu	0.036517	0.049217	0.012700
maksaa	0.036455	0.138004	0.101549
taistelun	0.036393	0.046534	0.010141
oma	0.036372	0.122217	0.085845
suomettarelaisten	0.036361	0.036371	0.000010
kalle	0.036360	0.087033	0.050673
töihin	0.036330	0.050610	0.014280
joilla	0.036328	0.173137	0.136809
työväenyhdistyksen	0.036164	0.051487	0.015323
pelti	0.036073	0.037919	0.001846
tekee	0.036064	0.162664	0.126600
kelloja	0.036062	0.052983	0.016921
joku	0.036033	0.207909	0.171876
telet	0.036006	0.041633	0.005627
hgin	0.035958	0.036165	0.000207
tupakkatehdas	0.035923	0.037300	0.001377
järjestöt	0.035887	0.035907	0.000020
myönnettiin	0.035886	0.060670	0.024785
jutun	0.035837	0.053551	0.017713
työläinen	0.035587	0.035958	0.000371
edustajia	0.035570	0.049114	0.013544
toimimaan	0.035558	0.047153	0.011596
sosialidemokratian	0.035471	0.035546	0.000074
hallinnon	0.035462	0.044213	0.008751
tapahtunut	0.035434	0.117935	0.082501
heidät	0.035416	0.077334	0.041918
edustajain	0.035409	0.046534	0.011125
poliisit	0.035297	0.041685	0.006388
jonfa	0.035286	0.054376	0.019090
sosialismi	0.035197	0.037042	0.001845
ssä	0.035182	0.043955	0.008773
sinne	0.035171	0.178605	0.143434
sai	0.035131	0.328320	0.293190
järjestön	0.035111	0.035185	0.000073
tammik	0.035081	0.075580	0.040499
tietää	0.034961	0.203730	0.168768
anonut	0.034910	0.057007	0.022097
tapahtui	0.034807	0.110197	0.075390
mistä	0.034689	0.110300	0.075611
nimim	0.034613	0.039982	0.005370
eräs	0.034421	0.308974	0.274552
kpl	0.034347	0.095700	0.061353
ihmisiä	0.034345	0.091985	0.057640
viipuriin	0.034323	0.059122	0.024799
pietariin	0.034309	0.111332	0.077022
mikäli	0.034232	0.069698	0.035466
lehdessä	0.034224	0.076302	0.042078
ajoissa	0.034172	0.065210	0.031038
syystä	0.033984	0.164831	0.130846
tyttöä	0.033955	0.052519	0.018564
konttoriin	0.033712	0.072175	0.038463
saatte	0.033710	0.051177	0.017468
näyt	0.033708	0.051435	0.017728
olemassa	0.033706	0.135992	0.102286
ryhmän	0.033696	0.036320	0.002623
joutui	0.033687	0.082751	0.049064
maaleissa	0.033668	0.041530	0.007862
mennä	0.033656	0.104470	0.070814
tulos	0.033628	0.059226	0.025598
kuukausi	0.033555	0.042820	0.009265
paras	0.033548	0.081925	0.048377
kirjelmän	0.033513	0.038796	0.005283
mastaan	0.033507	0.143730	0.110223
suhteen	0.033494	0.155648	0.122153
henkilö	0.033381	0.079397	0.046016
työmiehiä	0.033357	0.051229	0.017872
tällainen	0.033327	0.067067	0.033741
mukana	0.033254	0.079449	0.046195
nim	0.033218	0.082235	0.049017
lähetetään	0.033207	0.110713	0.077506
esityksen	0.033117	0.065416	0.032299
rautatieläisten	0.033101	0.033843	0.000742
junan	0.033076	0.067222	0.034146
sosialisteja	0.033024	0.034204	0.001181
wiime	0.033015	0.413083	0.380068
tuotannon	0.032948	0.035185	0.002237
mikonk	0.032940	0.041272	0.008332
etujen	0.032933	0.041169	0.008236
millä	0.032894	0.118503	0.085609
ehdotuksen	0.032888	0.099466	0.066578
tyttö	0.032855	0.106379	0.073524
yhteinen	0.032823	0.059741	0.026918
perustaa	0.032772	0.073361	0.040590
viimeistään	0.032755	0.064127	0.031372
tehtiin	0.032696	0.076354	0.043657
työmiestä	0.032653	0.039982	0.007329
taisteluun	0.032626	0.043594	0.010967
kirjelmä	0.032554	0.037454	0.004900
